,selling_price,km_driven,engine,Automatic,Manual,Diesel,age
0,1.2,120000.0,796.0,0,1,0,10.0
1,5.5,20000.0,1197.0,0,1,0,6.0
2,2.15,60000.0,1197.0,0,1,0,12.0
3,2.26,37000.0,998.0,0,1,0,10.0
4,5.7,30000.0,1498.0,0,1,1,7.0
5,3.5,35000.0,998.0,0,1,0,9.0
6,3.15,40000.0,1197.0,0,1,0,9.0
7,4.1,17512.0,998.0,0,1,0,4.0
8,10.5,20000.0,998.0,1,0,0,3.0
9,5.75,70000.0,1493.0,0,1,1,5.0
10,3.05,50000.0,1405.0,0,1,1,7.0
11,11.5,18000.0,1461.0,0,1,1,3.0
12,5.11,28321.0,1197.0,0,1,0,5.0
13,4.1,27000.0,1198.0,1,0,0,6.0
14,4.25,65278.0,1582.0,0,1,1,9.0
15,7.5,50000.0,1461.0,0,1,1,6.0
16,32.5,6000.0,1998.0,1,0,0,5.0
17,6.5,76000.0,1248.0,0,1,1,6.0
18,6.27,20000.0,1248.0,0,1,1,6.0
19,14.25,65000.0,2143.0,1,0,1,8.0
20,4.25,62200.0,1248.0,0,1,1,8.0
21,6.05,110000.0,2494.0,0,1,1,9.0
22,6.0,20000.0,1197.0,0,1,0,7.0
23,5.75,40000.0,1197.0,0,1,0,6.0
24,2.6,97000.0,1248.0,0,1,1,10.0
25,4.25,47000.0,1598.0,0,1,0,9.0
26,2.3,25000.0,998.0,0,1,0,9.0
27,12.25,15000.0,1582.0,0,1,1,3.0
28,3.75,56823.0,2179.0,0,1,1,12.0
29,7.5,50000.0,1497.0,0,1,0,7.0
30,3.5,25000.0,2523.0,0,1,1,11.0
31,6.0,90000.0,1248.0,0,1,1,7.0
32,3.9,45000.0,1248.0,0,1,1,9.0
33,7.0,25000.0,1197.0,0,1,0,4.0
34,11.5,110000.0,2982.0,0,1,1,9.0
35,3.4,30000.0,999.0,0,1,0,5.0
36,4.65,39993.0,1199.0,0,1,0,6.0
37,1.25,80000.0,1086.0,0,1,0,13.0
38,6.0,185000.0,2179.0,0,1,1,10.0
39,3.8,90000.0,1248.0,0,1,1,9.0
40,4.0,60000.0,2498.0,0,1,1,13.0
41,3.0,90000.0,1248.0,0,1,1,8.0
42,5.0,20000.0,1197.0,0,1,0,7.0
43,8.5,15000.0,1396.0,0,1,1,4.0
44,5.98,40000.0,1197.0,0,1,0,4.0
45,7.0,31180.0,1497.0,1,0,0,7.0
46,9.0,40000.0,1493.0,1,0,1,4.0
47,3.0,58000.0,1396.0,0,1,1,7.0
48,4.1,56000.0,1248.0,0,1,1,8.0
49,3.0,93000.0,1248.0,0,1,1,11.0
50,2.25,86000.0,1817.0,0,1,0,12.0
51,3.0,120000.0,1248.0,0,1,1,11.0
52,5.9,52427.0,1197.0,1,0,0,6.0
53,8.5,40000.0,1498.0,0,1,1,2.0
54,1.08,70000.0,624.0,0,1,0,11.0
55,5.5,17000.0,1198.0,0,1,0,4.0
56,3.25,54325.0,1496.0,0,1,0,10.0
57,6.25,22000.0,1590.0,0,1,0,6.0
58,6.0,54000.0,1197.0,0,1,0,6.0
59,4.45,10000.0,998.0,0,1,0,3.0
60,5.3,20000.0,1197.0,0,1,0,3.0
61,3.85,61000.0,1798.0,0,1,0,11.0
62,4.1,53237.0,998.0,0,1,0,4.0
63,3.5,27263.0,999.0,0,1,0,4.0
64,2.65,90000.0,1396.0,0,1,1,8.0
65,5.2,110000.0,1582.0,0,1,1,8.0
66,7.5,70000.0,1396.0,0,1,1,6.0
67,5.6,70000.0,1248.0,0,1,1,5.0
68,2.0,190000.0,1405.0,0,1,1,8.0
69,6.0,40000.0,1186.0,0,1,1,5.0
70,6.55,39000.0,1197.0,0,1,0,3.0
71,4.25,58000.0,1794.0,1,0,0,13.0
72,2.2,40000.0,796.0,0,1,0,5.0
73,5.5,34000.0,1197.0,0,1,0,4.0
74,11.5,50000.0,1997.0,0,1,1,5.0
75,5.0,77400.0,1598.0,0,1,1,10.0
76,9.9,36000.0,1497.0,0,1,1,3.0
77,5.51,47876.0,1493.0,0,1,1,9.0
78,16.5,21500.0,2179.0,1,0,1,4.0
79,3.5,75000.0,1120.0,0,1,1,7.0
80,5.0,58000.0,1196.0,0,1,0,5.0
81,5.75,30000.0,1197.0,0,1,0,4.0
82,5.45,50000.0,1186.0,0,1,1,4.0
83,5.25,19093.0,1196.0,0,1,0,5.0
84,4.0,50000.0,1198.0,0,1,0,8.0
85,5.4,3888.0,909.0,0,1,1,3.0
86,5.45,47000.0,1248.0,0,1,1,6.0
87,5.45,70000.0,1497.0,0,1,0,9.0
88,2.4,25000.0,799.0,0,1,0,6.0
89,7.25,26000.0,1248.0,0,1,1,4.0
90,4.8,30000.0,1196.0,0,1,0,5.0
91,3.75,15000.0,1197.0,0,1,0,9.0
92,2.25,160000.0,1248.0,0,1,1,11.0
93,4.0,32100.0,1199.0,0,1,0,5.0
94,5.5,22000.0,1197.0,0,1,0,6.0
95,10.5,44000.0,2179.0,0,1,1,6.0
96,4.5,78000.0,1198.0,0,1,0,6.0
97,7.75,74352.0,1796.0,1,0,0,10.0
98,3.5,37000.0,998.0,0,1,0,8.0
99,5.5,69000.0,1498.0,0,1,1,8.0
100,10.8,12120.0,1497.0,0,1,0,3.0
101,5.75,52000.0,1197.0,0,1,0,6.0
102,9.5,120000.0,2494.0,0,1,1,6.0
103,2.3,55000.0,796.0,0,1,0,9.0
104,2.7,160000.0,1396.0,0,1,1,11.0
105,1.65,42000.0,936.0,0,1,1,10.0
106,1.3,40000.0,1196.0,0,1,0,11.0
107,3.7,46000.0,1197.0,0,1,0,10.0
108,5.7,25000.0,1197.0,0,1,0,5.0
109,3.9,240000.0,1364.0,0,1,1,7.0
110,3.65,90000.0,1199.0,0,1,1,9.0
111,2.8,49566.0,1197.0,0,1,0,10.0
112,12.5,14000.0,1582.0,1,0,1,4.0
113,5.9,11000.0,1197.0,0,1,0,6.0
114,4.75,5000.0,998.0,1,0,0,4.0
115,6.85,55000.0,1498.0,0,1,1,5.0
116,3.8,65000.0,1582.0,1,0,1,10.0
117,3.3,22000.0,999.0,0,1,0,4.0
118,6.5,7671.0,1197.0,0,1,0,4.0
119,3.25,66000.0,998.0,0,1,0,6.0
120,6.4,45156.0,1197.0,1,0,0,4.0
121,9.49,25000.0,998.0,0,1,0,3.0
122,7.5,70000.0,1461.0,0,1,1,7.0
123,6.6,120000.0,1582.0,0,1,1,7.0
124,4.35,28000.0,1197.0,0,1,0,8.0
125,3.85,55000.0,1396.0,0,1,1,9.0
126,10.0,104000.0,2199.0,0,1,1,11.0
127,12.5,14000.0,1582.0,1,0,1,3.0
128,5.5,18000.0,1197.0,0,1,0,5.0
129,1.55,98780.0,998.0,0,1,0,13.0
130,4.15,58000.0,1248.0,0,1,1,7.0
131,2.51,30000.0,998.0,0,1,0,11.0
132,11.5,46400.0,2179.0,0,1,1,6.0
133,3.1,32111.0,1086.0,0,1,0,8.0
134,3.5,35000.0,1198.0,0,1,0,7.0
135,11.25,30000.0,1997.0,0,1,1,5.0
136,26.0,63000.0,2993.0,1,0,1,6.0
137,2.0,43890.0,1199.0,0,1,0,5.0
138,4.8,10000.0,1198.0,0,1,0,4.0
139,8.5,25000.0,1248.0,1,0,1,5.0
140,11.0,102000.0,1582.0,1,0,1,5.0
141,5.75,35000.0,1197.0,0,1,0,4.0
142,3.4,49948.0,1298.0,0,1,0,10.0
143,5.59,114851.0,1396.0,0,1,1,4.0
144,9.25,55000.0,1498.0,0,1,1,4.0
145,4.0,36000.0,1197.0,0,1,0,7.0
146,5.6,35000.0,1186.0,0,1,1,3.0
147,7.25,49625.0,1497.0,0,1,0,6.0
148,6.0,35000.0,1248.0,0,1,1,8.0
149,5.5,95000.0,2179.0,0,1,1,9.0
150,5.85,36000.0,1498.0,0,1,1,5.0
151,4.11,50000.0,998.0,0,1,0,3.0
